Instance_number,COLLISION_CLASSIFICATION,X,Y,Cluster
284,'P.D. only',376378.7188,5034773.5,cluster4
285,'P.D. only',368422.5,5030871,cluster1
286,Injury,376444.0938,5034927,cluster4
287,Injury,376412.375,5034834.5,cluster4
288,'P.D. only',372557.5313,5029298,cluster1
289,'P.D. only',373399.8125,5029386,cluster1
290,'P.D. only',368340.3125,5029109.5,cluster1
291,'P.D. only',374631.125,5032696.5,cluster1
292,'P.D. only',347178.1875,5026071,cluster2
293,'P.D. only',365792.5625,5022061,cluster3
294,'P.D. only',378810.5,5036948.5,cluster4
295,'P.D. only',366348.6875,5015474,cluster0
296,'P.D. only',379440.5,5037023.5,cluster4
297,'P.D. only',375578.75,5031438.5,cluster1
298,'P.D. only',367745,5030088,cluster1
299,'P.D. only',381143,5018033,cluster0
300,'P.D. only',371428.3438,5019146,cluster3
301,'P.D. only',367445.0625,5023154.5,cluster3
302,Injury,364071.375,5027194.5,cluster3
303,Injury,366959.0938,5024104.5,cluster3
304,'P.D. only',367634.0625,5021885.5,cluster3
305,'P.D. only',368944.9688,5009772.5,cluster0
306,Injury,374869.0313,5029547.5,cluster1
307,Injury,364899.1875,5027697,cluster3
308,'P.D. only',371732.0313,5033359,cluster1
309,'P.D. only',367954.0938,5030485.5,cluster1
310,'P.D. only',363678.7188,5015376,cluster0
311,'P.D. only',364523.5,5024511,cluster3
312,'P.D. only',372371.0313,5031810,cluster1
313,'P.D. only',369083.2188,5027763.5,cluster1
314,Injury,367927.5,5030567,cluster1
315,'P.D. only',367916.7188,5030572.5,cluster1
316,'P.D. only',364310.25,5014719,cluster0
317,'P.D. only',382949.25,5038540,cluster4
318,'P.D. only',362551.5,5023780,cluster3
319,'P.D. only',368452.3125,5030396,cluster1
320,'P.D. only',368741.5,5032040,cluster1
321,'P.D. only',370887.4063,5030559,cluster1
322,'P.D. only',388878.6563,5023666.5,cluster4
323,'P.D. only',372538.7813,5031412.5,cluster1
324,'P.D. only',367448.8125,5017618.5,cluster0
325,'P.D. only',370973.5625,5023820,cluster3
326,'P.D. only',370295.4375,5022807.5,cluster3
327,'P.D. only',370133.2188,5023795.5,cluster3
