Instance_number,DATE,TIME,Road_type,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE,Location,NO_OF_PEDESTRIANS,Cluster
11182,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster5
11185,Weekday,Night,Road,'03 - Snow','01 - Daylight','02 - Wet','02 - Stop sign','P.D. only','05 - Turning movement',downtown,0,cluster5
11186,Weekday,Night,Road,'02 - Rain','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster5
11189,Weekday,Night,Road,'01 - Clear','05 - Dusk','02 - Wet','10 - No control','P.D. only','07 - SMV other',downtown,0,cluster5
11190,Weekday,Night,Road,'01 - Clear','05 - Dusk','02 - Wet','02 - Stop sign','P.D. only','02 - Angle',downtown,0,cluster5
11194,Weekday,Night,Road,'03 - Snow','07 - Dark','02 - Wet','01 - Traffic signal',Injury,'07 - SMV other',downtown,1,cluster5
11196,Weekday,Night,Road,'02 - Rain','07 - Dark','02 - Wet','01 - Traffic signal',Injury,'03 - Rear end',Ottawa_west,0,cluster5
11199,Weekday,Night,Road,'03 - Snow','07 - Dark','02 - Wet','01 - Traffic signal','P.D. only','04 - Sideswipe',mid_town,0,cluster5
11241,Weekday,Noon,Road,'03 - Snow','01 - Daylight','06 - Ice','01 - Traffic signal','P.D. only','02 - Angle',downtown,0,cluster5
11262,Weekday,Night,Road,'01 - Clear','01 - Daylight','04 - Slush','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster5
11263,Weekday,Night,Road,'03 - Snow','01 - Daylight','02 - Wet','01 - Traffic signal',Injury,'05 - Turning movement',Ottawa_east,0,cluster5
11269,Weekday,Night,Road,'01 - Clear','07 - Dark','02 - Wet','10 - No control','P.D. only','07 - SMV other',Ottawa_west,0,cluster5
11271,Weekday,Night,Road,'01 - Clear','07 - Dark','02 - Wet','01 - Traffic signal','P.D. only','03 - Rear end',mid_town,0,cluster5
11277,Weekday,Night,Road,'01 - Clear','07 - Dark','02 - Wet','01 - Traffic signal',Injury,'03 - Rear end',downtown,0,cluster5
11295,Weekday,Afternoon,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal','P.D. only','04 - Sideswipe',downtown,0,cluster5
11308,Weekday,Evening,Road,'01 - Clear','01 - Daylight','01 - Dry','01 - Traffic signal',Injury,'07 - SMV other',downtown,1,cluster5
11313,Weekday,Night,Road,'02 - Rain','01 - Daylight','02 - Wet','01 - Traffic signal',Injury,'02 - Angle',downtown,0,cluster5
11324,Weekday,Night,Road,'02 - Rain','05 - Dusk','02 - Wet','01 - Traffic signal','P.D. only','05 - Turning movement',downtown,0,cluster5
11325,Weekday,Evening,Road,'01 - Clear','01 - Daylight','02 - Wet','01 - Traffic signal',Injury,'07 - SMV other',downtown,1,cluster5
